CODE,DATE,OPEN,INTRADAY_HIGH,INTRADAY_LOW,CLOSE,P/E,VOLUME
1,20250307,50.8,51.15,49.4,51.55,8.07,45380000.0
2,20250307,65.0,65.15,64.15,64.99,13.82,5410000.0
3,20250307,6.26,6.3,6.17,6.27,19.21,34390000.0
4,20250307,19.44,19.8,19.24,19.7,62.68,1680000.0
5,20250307,88.7,88.95,87.95,90.0,9.1,37460000.0
6,20250307,53.6,54.1,53.35,53.5,19.14,4520000.0
7,20250307,,,,0.032,0.34,
8,20250307,4.6,4.62,4.58,4.6,,7090000.0
9,20250307,,,,0.013,,
10,20250307,11.3,11.3,11.12,11.24,9.42,1380000.0
11,20250307,107.8,108.0,106.7,107.6,11.48,2000000.0
12,20250307,22.75,23.1,22.5,22.75,11.84,6230000.0
13,20250307,25.3,26.8,24.75,25.4,27.91,6720000.0
14,20250307,13.16,13.16,12.82,13.18,376.54,1070000.0
15,20250307,,,,,,
